sentence,label
"i'm surprised that you got it done, seeing how you're all girls",1
You're very exotic looking.,1
Have any body issues? You better now say yes.,1
"You're asian, so you must be good at math.",1
You can't be American Indian. They're all extinct.,1
Are you a boy or a girl? Sit up straight.,1
See? Now that's what a real woman looks like! That's the kind of body I like!,1
I don’t think that she should be dating a black man. I just want my granddaughter to end up with the right colour.,1
"I mean, it doesn't matter... Just as long as he's not black.",1
I don’t think you’re bisexual because I can’t picture you actually being with another woman. Or having a relationship with a woman.,1
"No, I don't think she's gay. She wants kids.",1
you're too pretty to be a doctor,1
all immigrants should go back to their countries,1
"don't shoot officers, im white!",1
you're pretty for a black girl,1
you talk like you are white.,1
I'm fine with gay people as long as they aren't gay around me.,1
But you are too strong to be raped.,1
Hispanic people have absolutely no control over their kids.,1
"If we had known it was going to be this much trouble, we would have picked the cotton ourselves.",1
are you one of those bad races?,1
I wouldn't want to attract anyone gay,1
"you two need to step up your game, you let a GIRL beat you.",1
"Oh, you look smart for a Puertorrican.",1
What are you? You’re so interesting looking!,1
We are only women.,1
But where are you really from? You don't look like you're from here.,1
Don’t mind my OCD!,1
You don’t seem like you are depressed. Sometimes I get sad too,1
You're so articulate for your skin color,1
"Damn, you work on so many things, it's like you have ADHD.",1
"Ha, you're so OCD with how you manage projects.",1
"You're transgender? Wow, you don't look like it at all.",1
"Oh, you're gay? You should meet my friend. She's gay, too!",1
My boss is crazy,1
Is that your real hair?,1
Why do you wear that?,1
So who is the man in the relationship?,1
You should smile more,1
"You have a mental illness, but you seem so normal",1
You’re just being too sensitive,1
"you are poor, you do not belong. ",1
Your ethnic/racial identity makes you exotic.,1
It’s ridiculous that they are fasting during exam time,1
The way you have overcome your disability is so inspiring,1
You don’t act/sound Black.,1
Go back to your own country.,1
Do you really pray five times a day?,1
You don’t look like you grew up poor.,1
"Ugh, I can’t read. I’m totally dyslexic today.",1
People with your disability aren't normal.,1
"She's so bipolar, haha!",1
You are illegal.,1
You should've gotten an A because you're asian!,1
He's like a banana. White on the inside and yellow on the outside.,1
You look like you're white.,1
You look like you're caucasian.,1
But she's black!,1
How did you get an American Passport without being white?,1
At least your family wasn't Jewish.,1
You should pierce your ears so people know you're a girl.,1
I'm surprised you're not in jail right now because you're black,1
You should just get over it and get used to it sweetie,1
"I love my grandkids, even though they are black",1
She always wears such revealing clothing and wonders why she gets so much attention,1
"In a lift in a Hong Kong hotel. A Caucasian woman spoke to a local staff member, saying 'Do you understand English?",1
I don’t think Velma Kelly can be played by a black actress,1
You’re smart for a woman.,1
"I don't think of you as Black.",1
"Why do Black people always wear hoodies?",1
"You're not disabled enough for that.",1
"You're too young to be disabled.",1
"All Jews are lawyers or doctors.",1
"Why don't you believe in Jesus?",1
"Do you have to marry a Jewish person?",1
"Do you celebrate Hanukkah instead of Christmas?",1
"Do you have Jewish guilt?",1
"Are you from Israel?",1
"Are you part of a Jewish fraternity?",1
"You don't look like a Christian.",1
"Christians are all hypocrites.",1
"Are you one of those Bible thumpers?",1
"You're too smart to be a Christian.",1
"Do you really believe in creationism?",1
"You must not believe in evolution.",1
"Do you think you're holier than thou?",1
"Are you trying to convert me?",1
"Christians are so intolerant.",1
"You don't act very Christian.",1
"Do you think non-Christians are going to hell?",1
"You must go to church every Sunday.",1
"You must hate other religions.",1
"Do you think the Bible is literal?",1
"Do you think women should be submissive?",1
"Christians are so brainwashed.",1
"Do you follow all the commandments?",1
"You must believe in the Rapture.",1
"You must think sex before marriage is a sin.",1
"Are you one of those born-again Christians?",1
"Christians are always pushing their beliefs on others.",1
"You must think your religion is the only true one.",1
"Do you think non-believers are lost?",1
"Christians are so anti-intellectual.",1
"Christians are always preaching.",1
"You must be against gender equality.",1
"Christians are so intolerant of other beliefs.",1
"White people are so bland.",1
"You don't know what it's like to be discriminated against.",1
"All white people look the same.",1
